job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Pandas, NumPy, Data Visualization, Scikit-learn"
Machine Learning Engineer,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Docker, MLOps, Model Deployment"
Data Engineer,"Python, SQL, ETL, Apache Spark, Airflow, Data Warehousing, Cloud Computing, AWS"
Backend Developer,"Python, Java, REST APIs, Databases, SQL, Git, System Design, Docker"
Frontend Developer,"JavaScript, React, HTML, CSS, TypeScript, UI Design, Git, Web Accessibility"
Full Stack Developer,"JavaScript, Python, React, Node.js, SQL, REST APIs, Git, Docker"
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Automation, Terraform, Git"
Cloud Architect,"AWS, Azure, Cloud Computing, Kubernetes, Networking, Security, System Design, Terraform"
MLOps Engineer,"Docker, Kubernetes, Machine Learning, CI/CD, Model Deployment, Python, Cloud Computing, Monitoring"
Data Analyst,"SQL, Excel, Data Visualization, Python, Statistics, Business Intelligence, Tableau, Reporting"
AI Engineer,"Python, Machine Learning, Deep Learning, NLP, LLMs, Prompt Engineering, Vector Databases, APIs"
Security Engineer,"Networking, Security, Linux, Python, Cryptography, Penetration Testing, Cloud Computing, Automation"
Database Administrator,"SQL, Database Design, Indexing, Backup Recovery, Performance Tuning, Linux, Security, Automation"
Site Reliability Engineer,"Linux, Kubernetes, Monitoring, Automation, Python, Networking, CI/CD, Incident Response"
Mobile Developer,"Java, Kotlin, Swift, Mobile UI, REST APIs, Git, Testing, App Deployment"
QA Engineer,"Testing, Automation, Python, Selenium, CI/CD, Bug Tracking, Test Design, Git"
Data Architect,"Data Modeling, SQL, Data Warehousing, Cloud Computing, ETL, System Design, Governance, Python"
Research Scientist,"Machine Learning, Deep Learning, Statistics, Python, Research Methods, Publications, Mathematics, Experimentation"
